adjective,antonym
malen,velik
svijetli,tamni
bijel,crn
lijep,ružan
dobar,loš
slan,sladak
suh,mokar
topao,hladan
grub,fin
složen,prost
lagan,težak
kratak,dug
jak,slab
tvrd,mekan
visok,nizak
debeo,tanak
širok,uzak
brz,spor
pun,prazan
èist,prljav
bliz,dalek
star,nov
pametan,glup
unutarnji,vanjski
lijen,marljiv
aktivan,pasivan
dosadan,zabavan
tužan,sretan
hrabar,plašljiv
bogat,siromašan
bolestan,zdrav
iskusan,neiskusan
blizak,stran
ravan,neravan
zanaèajan,beznaèajan
bitan,nebitan
važan,nevažan
zanimljiv,monoton
muški,ženski
desni,lijevi
prav,kriv
toèan,netoèan
dubok,plitak
privlaèan,odbojan
pozitivan,negativan
introvertiran,ekstrovertiran
mastan,postan
kulturan,nekulturan
brzoplet,promišljen
gust,rijedak
èvrst,labav
stabilan,nestabilan
vedar,tmuran
sunèan,oblaèan
turoban,veseo
svjež,oronuo
kuhan,sirov
otrovan,ljekovit
ozbiljan,neozbiljan
šutljiv,prièljiv
vitak,zdepast
alkoholni,bezalkoholan
bezbrižan,zabrinut
odgovoran,neodgovoran
pitom,divlji
jeftin,skup
plodan,neplodan
pristojan,nepristojan
mudar,tup
intrinsièan,ekstrinsièan
simetrièan,asimetrièan
jednak,razlièit
kiseo,lužnat
uredan,neuredan
skroman,razmetljiv
uèen,neuk
otvoren,zatvoren
miroljubiv,ratoboran
napredan,zaostao
uskogrudan,širokogrudan
hladnokrvan,toplokrvan
blag,oštar
bistar,mutan
inteligentan,neinteligentan
realan,imaginaran
tih,glasan
trijezan,pijan
kompliciran,jednostavan
krut,podatan
pravilan,nepravilan
pravocrtan,krivocrtan
smrdljiv,mirišljav
tajni,javni
razumljiv,nerazumljiv
odgojen,neodgojen
ljubazan,neljubazan
