adjective,adverb,adjective_croatian,adverb_croatian
precise,precisely,precizan,precizno
cheerful,cheerfully,veseo,veselo
sudden,suddenly,iznenadan,iznenadno
reluctant,reluctantly,nesklon,nesklono
rapid,rapidly,brz,brzo
efficient,efficiently,učinkovit,učinkovito
fortunate,fortunately,uspješan,uspješno
occasional,occasionally,povremen,povremeno
amazing,amazingly,zadivljen,zadivljeno
calm,calmly,miran,mirno
unfortunate,unfortunately,nesretan,nesretno
happy,happily,sretan,sretno
safe,safely,siguran,sigurno
complete,completely,potpun,potpuno
apparent,apparently,očigledan,očigeledno
lucky,luckily,veseo,veselo
immediate,immediately,neposredan,neposredno
possible,possibly,moguć,moguće
most,mostly,većinski,većinsko
slow,slowly,spor,sporo
free,freely,slobodan,slobodno
serious,seriously,ozbiljan,ozbiljno
swift,swiftly,brz,brzo
infrequent,infrequently,rijedak,rijetko
rare,rarely,razrijeđen,razrijeđeno
furious,furiously,žestok,žestoko
quiet,quietly,tih,tiho
obvious,obviously,očit,očito
quick,quickly,hitar,hitro
professional,professionally,profesionalan,profesionalno
usual,usually,uobičajen,uobičajeno
typical,typically,tišičan,tipično
