positive,comparative,superlative
dobar,bolji,najbolji
zao,gori,najgori
taman,tamniji,najtamniji
visok,viši,najviši
debeo,deblji,najdeblji
mršav,mršaviji,najmršaviji
jeftin,jeftiniji,najjeftiniji
malen,manji,najmanji
čist,čišći,najčišći
star,stariji,najstariji
mlad,mlađi,najmlađi
lak,lakši,najlakši
mek,mekši,najmekši
lijep,lješi,najljepši
jak,jači,najjači
velik,veći,najveći
ljen,ljeniji,najljeniji
slan,slanji,najslanji
dug,duži,najduži
krut,krući,najkrući
suh,suši,najsuši
topao,topliji,najtopliji
labav,labaviji,najlabaviji
poseban,posebniji,najposebniji
ljut,ljući,najljući
jasan,jasniji,najjasniji
zelen,zeleniji,najzeleniji
crven,crveniji,najcrveniji
hrapav,hrapaviji,najhrapaviji
slab,slabiji,najslabiji
marljiv,marljiviji,najmarljiviji
plemenit,plemenitiji,najplemenitiji
razigran,razigraniji,najrazigraniji
zločest,zločestiji,najzločestiji
brz,brži,najbrži
blag,blaži,najblaži
blijed,bljeđi,najbljeđi
žut,žući,najžući
čvrst,čvršći,najčvršći
lud,luđi,najluđi
glup,gluplji,najgluplji
vrijedan,vrjedniji,najvrjedniji
bijel,bjelji,najbjelji
nijem,njemiji,najnjemiji
siv,siviji,najsiviji
crn,crnji,najcrnji
lak,lakši,najlakši
krnj,krnji,najkrnji
vruć,vrući,najvrući
tih,tiši,najtiši
mrk,mrkiji,najmrkiji
krepak,krepkiji,najkrepkiji
krotak,krotkiji,najkrotkiji
mrzak,mrži,najmržiji
bijesan,njesniji,najbjesniji
bistar,bistriji,najbistriji
gladan,gladniji,najgladniji
jednostavan,jednostavniji,najjednostavniji
složen,složeniji,najsloženiji
kos,kosiji,najkosiji
ravan,ravniji,najravniji
stran,straniji,najstraniji
štur,šturiji,najšturiji
slan,slaniji,najslaniji
sladak,slađi,najslađi
gorak,gorči,najgorči
težak,teži,najteži
širok,širi,najširi
dalek,dalji,najdalji
dubok,dublji,najdublji
blizak ,bliži,najbliži
tanak,tanji,najtanji
plitak,plići,najplići
uzak,uži,najuži
gust,gušći,najgušći
strm,strmiji,najstrmiji
zdrav,zdraviji,najzdraviji
