country,city,president
Belgija,Brisel,Filip_I.
Bjelorusija,Minsk,Alexandr_Lukašenko
Bugarska,Sofija,Rosen_Plevneliev
Češka,Prag,Miloš_Zeman
Danska,Kopenhagen,Markéta_II.
Estonija,Talin,Toomas_Hendrik_Ilves
Finska,Helsinki,Sauli_Niinistö
Francuska,Pariz,François_Hollande
Hrvatska,Zagreb,Kolinda_Grabar_Kitarović
Irska,Dablin,Michael_Daniel_Higgins
Island,Reykjavík,Ragnar_Grímsson
Italija,Rim,Sergio_Mattarella
Lihtenštajn,Vaduz,Jan_Adam_II.
Litva,Vilnius,Dalia_Grybauskait?ová
Latvija,Riga,Andris_B?rzi?š
Luksemburg,Luksemburg,Jindřich_I._Lucemburský
Mađarska,Budimpešta,Áder_János
Monako,Monako,Albert_II.
Njemačka,Berlin,Joachim_Gauck
Nizozemska,Amsterdam,Vilém_Alexandr_Nizozemský
Norveška,Oslo,Harald_V.
Poljska,Varšava,Bronisław_Komorowski
Portugal,Lisabon,Aníbal_Cavaco_Silva
Austrija,Beč,Heinz_Fischer
Rumunjska,Bukurešt,Traian_Băsescu
Rusija,Moskva,Vladimir_Putin
Grčka,Atena,Karolos_Papulias
Slovačka,Bratislava,Andrej_Kiska
Slovenija,Ljubljana,Borut_Pahor
Srbija,Beograd,Tomislav_Nikolić
Španjolska,Madrid,Filip_VI._Španělský
Švedska,Stockholm,Karel_XVI._Gustav
Švicarska,Bern,Didier_Burkhalter
Ukraina,Kijev,Petro_Porošenko
Makedonija,Skoplje,Dorđe_Ivanov
Crna_Gora,Podgorica,Filip_Vujanović
Malta,Valeta,George_Abela
Albanija,Tirana,Bujar_Nishani
Cipar,Niozija,Nikos_Anastasiades
Kosovo,Priština,Hashim_Thaçi
Turska,Ankara,Binali_Y?ld?r?m
Ujedinjeno_Kraljevstvo,London,Elizabeta_II.
