noun,antonym
aktivnost,neaktivnost
anoda,katoda
apscisa,ordinata
bistrost,mutnoća
bjelina,crnina
bogatstvo,siromaštvo
bolest,zdravlje
buka,tišina
centralizacija,decentralizacija
čovjek,nečovjek
dan,noć
disciplina,nedisciplina
dobitak,gubitak
dobrota,zlo
dodatak,odbitak
dokaz,protudokaz
domaćin,gost
dubina,visina
građanin,seljanin
gubitnik,dobitnik
hardver,softver
hladnoća,toplina
hladnokrvnost,toplokrvnost
imaginarnost,neimaginarnost
inteligencija,nerazumnost
interijer,eksterijer
istina,laž
izvjesnost,neizvjesnost
izvor,ponor
izvoz,uvoz
jednakost,različitost
kazna,nagrada
komplikacija,jednostavnost
krivnja,nevinost
krutost,podatnost
kultura,nekultura
kupnja,prodaja
lijek,otrov
ljepota,ružnoća
ljubav,mržnja
minimalnost,maksimalnost
mir,rat
mještanin,stranac
mladost,starost
množitelj,dijelitelj
moćnik,nemoćnik
moda,zastarjelost
mogućnost,nemogućnost
mršavost,gojaznost
mudrost,glupost
nadvožnjak,podvožnjak
napad,obrana
nutrina,vanjština
optimizam,pesimizam
orijentacija,dezorijentacija
pad,rast
pijanost,trijeznost
pisaljka,brisaljka
pobjeda,poraz
početak,kraj
ponuda,potražnja
poslodavac,zaposlenik
povećanje,smanjenje
povisilica,snizilica
pozitivac,negativac
pravilnost,nepravilnost
prednost,nedostatak
prijedlog,protuprijedlog
prisustvo,odsustvo
privlačnost,odbojnost
proljev,zatvor
racionalnost,neracionalnost
radnik,šef
red,nered
rođenje,umiranje
selo,grad
sigurnost,nesigurnost
skromnost,razmetljivost
slabost,jakost
sloboda,nesloboda
sloga,nesloga
sporost,brzina
spremnost,nespremnost
sreća,nesreća
stabilizacija,destabilizacija
stvarnost,mašta
talent,antitalent
tama,svjetlo
trgovac,kupac
tvrdoća,mekoća
udaljenost,prisnost
usklađenost,neusklađenost
veselje,tuga
vjernost,nevjernost
vjerovnik,dužnik
vlaga,suša
vodič,izolator
zahvalnost,nezahvalnost
zanimljivost,monotonost
život,smrt
